software	platform	download-size	description
7zip	linux,win	1575072	linux/x64
ATAC	linux,darwin,win	7390195	linux/arm64
AdGuardian-Term	linux,darwin	7617796	macos/x64
Amber	linux,darwin,win	1232760	linux/x64
AngryOxide	linux	2633198	linux/x64
BBDown	linux,darwin	9353961	linux/x64
CLIProxyAPI	linux,darwin,win	21578431	linux/x64
CMake	linux,darwin	64872980	linux/x64
CPU-X	linux,darwin	91890	macos/x64
Chat2DB	linux,darwin,win	425004465	msi
CliRelay	linux,darwin,win	16375265	linux/x64
Clipboard	linux,darwin,win	1134582	linux/x64
Clypra	linux,darwin,win	38919063	macos/arm64
CodeGPT	linux,darwin,win	21139640	linux/x64
CodeWhale	linux,darwin,win	69543680	linux/x64
ComChan	linux,win	2139592	linux/x64
ComfyUI	win	1817392344	win/arm64
DeepSeek-Reasonix	linux,darwin,win	48410274	linux/x64
Diagon	linux,darwin,win	661438	linux/arm64
DockBridge	linux,darwin	16363812	linux/x64
EmmyLuaCodeStyle	linux,darwin,win	2351635	linux/x64
FinceptTerminal	linux,darwin	176941560	linux/x64
GQL	linux,darwin	2847651	linux/x64
GTT	linux,darwin	3634416	linux/x64
Handler	linux,darwin,win	116008	whl
HexPatch	linux,darwin	31032376	linux/arm64
ImageMagick	linux,darwin,win	11738355	macos/x64
Logria	darwin,win	2544896	macos/x64
MoneyPrinterTurbo	win	944944458	win/arm64
NTrace-core	darwin	12064608	macos/x64
Neo-cowsay	linux,darwin,win	2306042	linux/x64
OCRmyPDF	linux,darwin,win	534921	whl
OfficeCLI	linux,darwin	35370639	linux/x64
OpenHands	linux,darwin	194752332	appimage
PDFMathTranslate	win	323026518	win/arm64
PraisonAI	linux,darwin	1876622	dmg
Rustlens	linux,darwin,win	2042245	linux/x64
S3Scanner	linux,darwin,win	5468254	linux/x64
Seelen-UI	darwin	42382623	macos/x64
StyLua	linux,darwin,win	3409105	linux/x64
WasmEdge	linux,darwin,win	106180643	linux/x64
Windows-MCP	linux,darwin,win	9520	win/arm64
abtop	linux,darwin,win	801084	linux/x64
act	linux,darwin,win	8200078	linux/x64
act3	linux,darwin	5410973	linux/x64
age	linux,darwin,win	19405817	linux/x64
agent-browser	linux,darwin	14092888	linux/x64
agents-cli	linux,darwin,win	1269882	whl
agentsview	linux,darwin,win	45766737	linux/x64
agg	linux,darwin	15904064	linux/x64
ai.cli	darwin	1386693	macos/arm64
aic	linux,darwin,win	5723883	linux/x64
aichat	linux,darwin,win	5759120	linux/x64
ainovel-cli	linux,darwin,win	5803353	linux/x64
alacritty	darwin,win	6136240	dmg
aliyun-cli	linux,darwin	77166251	linux/x64
aliyundrive-webdav	linux,darwin,win	4241567	linux/x64
aliyunpan	linux,darwin,win	7057852	linux/x64
amfora	linux,darwin	16015544	linux/arm64
amp	linux,darwin	8373152	linux/x64
amux	linux,darwin	4796848	linux/x64
anthropic-cli	linux,darwin,win	8249011	linux/x64
anything-llm	linux,darwin	547603907	dmg
aptui	linux	3547163	linux/x64
apw	darwin	81432425	macos/x64
arduino-cli	linux,darwin,win	17006509	linux/arm64
argo-cd	linux,darwin	249661350	linux/x64
argo-rollouts	linux,darwin,win	141635843	linux/x64
argo-workflows	linux,darwin,win	74877622	linux/x64
aria2	linux	2508263	linux/arm64
arkade	darwin	13631650	macos/arm64
arrow	linux,darwin,win	271315761	linux/x64
ascii-image-converter	linux,darwin,win	4153854	linux/x64
